Rank,RTweet_Fvrt,Life_time(days),Life_time(Secs)
11.915298221302116,2,0.0004166666666666667,36
11.383154410856482,2,0.0005439814814814814,47
12.72385024919752,2,0.0002777777777777778,24
12.346596115557919,2,0.0003356481481481481,29
11.807414197374833,2,0.0004398148148148148,38
12.989894480077059,2,0.00024305555555555555,21
11.42608760999897,2,0.0005324074074074074,46
12.564313470285976,2,0.00030092592592592595,26
11.8606288657394,2,0.00042824074074074075,37
12.489076691389414,2,0.0003125,27
12.489076691389414,2,0.0003125,27
12.564313470285976,2,0.00030092592592592595,26
12.213594338738822,2,0.0003587962962962963,31
11.8606288657394,2,0.00042824074074074075,37
11.75557880314845,2,0.00045138888888888887,39
12.41656788042209,2,0.00032407407407407406,28
14.67365656143231,2,0.00010416666666666667,9
11.8606288657394,2,0.00042824074074074075,37
12.346596115557919,2,0.0003356481481481481,29
11.705052986410784,2,0.000462962962962963,40
12.278989842158866,2,0.00034722222222222224,30
12.150269584280634,2,0.00037037037037037035,32
13.79675532559267,2,0.00016203703703703703,14
11.514821900413523,2,0.0005092592592592592,44
14.275755960338941,2,0.0001273148148148148,11
11.42608760999897,2,0.0005324074074074074,46
12.278989842158866,2,0.00034722222222222224,30
11.607676567399855,2,0.0004861111111111111,42
11.42608760999897,2,0.0005324074074074074,46
11.8606288657394,2,0.00042824074074074075,37
11.42608760999897,2,0.0005324074074074074,46
12.72385024919752,2,0.0002777777777777778,24
12.564313470285976,2,0.00030092592592592595,26
11.383154410856482,2,0.0005439814814814814,47
12.564313470285976,2,0.00030092592592592595,26
12.989894480077059,2,0.00024305555555555555,21
12.41656788042209,2,0.00032407407407407406,28
13.410596679438965,2,0.00019675925925925926,17
12.088888452961257,2,0.00038194444444444446,33
12.41656788042209,2,0.00032407407407407406,28
18.922286600020808,2,1.1574074074074073e-05,1
16.83341765237892,2,3.472222222222222e-05,3
11.807414197374833,2,0.0004398148148148148,38
11.705052986410784,2,0.000462962962962963,40
11.8606288657394,2,0.00042824074074074075,37
12.213594338738822,2,0.0003587962962962963,31
12.41656788042209,2,0.00032407407407407406,28
12.213594338738822,2,0.0003587962962962963,31
13.65958281721176,2,0.00017361111111111112,15
12.489076691389414,2,0.0003125,27
11.971504036281518,2,0.0004050925925925926,35
12.808659434989265,2,0.0002662037037037037,23
12.642491535708933,2,0.00028935185185185184,25
12.897224779077652,2,0.0002546296296296296,22
11.915298221302116,2,0.0004166666666666667,36
11.8606288657394,2,0.00042824074074074075,37
12.72385024919752,2,0.0002777777777777778,24
11.915298221302116,2,0.0004166666666666667,36
13.79675532559267,2,0.00016203703703703703,14
11.915298221302116,2,0.0004166666666666667,36
13.29683850254347,2,0.00020833333333333335,18
11.5607104113616,2,0.0004976851851851852,43
11.75557880314845,2,0.00045138888888888887,39
13.189204031325866,2,0.0002199074074074074,19
12.642491535708933,2,0.00028935185185185184,25
12.278989842158866,2,0.00034722222222222224,30
12.72385024919752,2,0.0002777777777777778,24
12.564313470285976,2,0.00030092592592592595,26
11.514821900413523,2,0.0005092592592592592,44
13.189204031325866,2,0.0002199074074074074,19
11.705052986410784,2,0.000462962962962963,40
12.489076691389414,2,0.0003125,27
12.088888452961257,2,0.00038194444444444446,33
12.489076691389414,2,0.0003125,27
11.705052986410784,2,0.000462962962962963,40
13.944033325713054,2,0.00015046296296296297,13
11.383154410856482,2,0.0005439814814814814,47
12.642491535708933,2,0.00028935185185185184,25
11.383154410856482,2,0.0005439814814814814,47
12.41656788042209,2,0.00032407407407407406,28
12.808659434989265,2,0.0002662037037037037,23
13.65958281721176,2,0.00017361111111111112,15
11.75557880314845,2,0.00045138888888888887,39
11.383154410856482,2,0.0005439814814814814,47
13.531217620208682,2,0.00018518518518518518,16
12.150269584280634,2,0.00037037037037037035,32
13.189204031325866,2,0.0002199074074074074,19
13.531217620208682,2,0.00018518518518518518,16
13.29683850254347,2,0.00020833333333333335,18
13.65958281721176,2,0.00017361111111111112,15
12.029335177760315,2,0.0003935185185185185,34
12.278989842158866,2,0.00034722222222222224,30
11.514821900413523,2,0.0005092592592592592,44
12.808659434989265,2,0.0002662037037037037,23
14.464827235329468,2,0.00011574074074074075,10
13.0870675171903,2,0.0002314814814814815,20
12.029335177760315,2,0.0003935185185185185,34
11.383154410856482,2,0.0005439814814814814,47
12.346596115557919,2,0.0003356481481481481,29
13.0870675171903,2,0.0002314814814814815,20
11.469962688057777,2,0.0005208333333333333,45
12.41656788042209,2,0.00032407407407407406,28
13.65958281721176,2,0.00017361111111111112,15
12.564313470285976,2,0.00030092592592592595,26
12.213594338738822,2,0.0003587962962962963,31
11.383154410856482,2,0.0005439814814814814,47
11.8606288657394,2,0.00042824074074074075,37
11.383154410856482,2,0.0005439814814814814,47
11.807414197374833,2,0.0004398148148148148,38
13.189204031325866,2,0.0002199074074074074,19
11.915298221302116,2,0.0004166666666666667,36
11.705052986410784,2,0.000462962962962963,40
13.189204031325866,2,0.0002199074074074074,19
12.642491535708933,2,0.00028935185185185184,25
14.103025021161983,2,0.0001388888888888889,12
12.489076691389414,2,0.0003125,27
12.564313470285976,2,0.00030092592592592595,26
12.642491535708933,2,0.00028935185185185184,25
12.213594338738822,2,0.0003587962962962963,31
12.278989842158866,2,0.00034722222222222224,30
12.897224779077652,2,0.0002546296296296296,22
14.906860507008442,2,9.259259259259259e-05,8
13.29683850254347,2,0.00020833333333333335,18
12.72385024919752,2,0.0002777777777777778,24
11.75557880314845,2,0.00045138888888888887,39
12.897224779077652,2,0.0002546296296296296,22
