RTweet_Fvrt,Life_time(days)
4831,0.1063541667
4828,0.1063194444
2249,0.8663773148
4817,0.1058564815
2734,0.3581481481
4813,0.105625
8166,0.9656712963
2246,0.8658680556
4800,0.1048958333
4798,0.1048842593
2732,0.356724537
4786,0.1040162037
4764,0.1025925926
2208,0.8217708333
6775,0.4819444444
10929,0.7030671296
6768,0.4805555556
6766,0.478900463
10925,0.6989467593
10920,0.6963888889
1307,0.5372106481
6753,0.4716435185
10912,0.6890509259
6740,0.4645833333
6736,0.4634722222
6731,0.4622106481
10907,0.6836226852
10904,0.6834490741
10759,0.5651157407
10757,0.5624074074
10752,0.5585416667
10747,0.5571759259
10744,0.5556944444
10737,0.5504861111
10734,0.5494791667
10727,0.5444560185
10723,0.5415856481
10717,0.5378009259
10714,0.5370833333
10712,0.5353935185
10709,0.5352662037
10705,0.531412037
10703,0.5303703704
10700,0.5296990741
10698,0.526875
10694,0.5264467593
10687,0.5179861111
10677,0.5065856481
10674,0.5055092593
10668,0.5038310185
10660,0.4978472222
10655,0.4948726852
10651,0.4927662037
10648,0.4921296296
10643,0.4898842593
10637,0.4868287037
10634,0.4864467593
10629,0.4849305556
10625,0.4794212963
10619,0.4751157407
10611,0.4707291667
10607,0.4698958333
10605,0.4697916667
10602,0.4685532407
10599,0.4683680556
10595,0.468287037
10590,0.4650347222
10584,0.4623263889
10579,0.4616087963
10576,0.4614351852
10574,0.4606134259
10571,0.4603009259
10566,0.4585300926
10557,0.4566666667
10551,0.4545833333
10549,0.4537962963
10543,0.4517013889
10455,0.4186805556
10427,0.4105787037
10420,0.4081597222
10415,0.4071990741
10412,0.4066319444
10409,0.4065625
10403,0.4051273148
10398,0.4044907407
10323,0.3875347222
10319,0.3870949074
10315,0.3860763889
10309,0.385
10307,0.3847685185
10294,0.3804861111
10290,0.3790740741
10286,0.3783101852
10259,0.373900463
10251,0.3724537037
10208,0.3629166667
10204,0.3626157407
10199,0.3617476852
10197,0.3616319444
10194,0.3614814815
10187,0.360462963
10185,0.3601967593
10182,0.3593171296
8975,0.7629398148
8954,0.7559490741
8951,0.7555324074
8944,0.751875
8940,0.7479513889
8933,0.7462384259
8929,0.7453703704
8927,0.7450231481
8920,0.7397800926
8916,0.7375462963
8915,0.7374652778
8906,0.735787037
8903,0.7346527778
8898,0.7336574074
8896,0.7324421296
8892,0.7322453704
8886,0.7308564815
8885,0.7308449074
8882,0.730775463
8877,0.7297222222
8867,0.7279513889
8864,0.7269328704
8861,0.7262731481
8860,0.7253819444
8856,0.7251967593
8856,0.7247222222
8849,0.7222106481
8845,0.721099537
8841,0.7206018519
8840,0.7203703704
8838,0.7196875
8833,0.7178472222
8831,0.7169907407
8824,0.7163078704
8823,0.7161921296
8820,0.7159606481
8818,0.7153125
8815,0.7142592593
8807,0.7100231481
8795,0.7051157407
8792,0.705
8788,0.7049421296
8783,0.7035648148
8780,0.7031828704
8776,0.7027199074
8102,0.5002662037
8100,0.5000925926
8096,0.4993402778
8093,0.4972453704
8088,0.4954282407
8086,0.4952662037
8079,0.4901967593
8077,0.4893981481
8073,0.4888078704
8070,0.488587963
8067,0.4883564815
8061,0.4845949074
8058,0.4837268519
8054,0.4836226852
8049,0.4812731481
8046,0.4804976852
8044,0.4803356481
8040,0.4795717593
8032,0.4762268519
8029,0.4751388889
8027,0.472962963
8023,0.4721412037
8019,0.4707060185
8006,0.4571990741
8003,0.451724537
7997,0.4448726852
7995,0.4446180556
7991,0.4437847222
7988,0.4434027778
7985,0.4433333333
7976,0.4356597222
7974,0.4340972222
7971,0.4299421296
7969,0.427662037
7964,0.4248726852
7961,0.4229513889
7957,0.4221296296
7954,0.4198842593
7947,0.4141087963
7942,0.4125347222
7940,0.4125231481
7935,0.4079166667
7931,0.40625
7928,0.4040509259
7924,0.3991319444
7922,0.3989236111
7915,0.3979050926
7909,0.39625
7906,0.396099537
7904,0.3954976852
7901,0.3943518519
7897,0.393287037
7895,0.3929861111
7889,0.3919560185
7887,0.3886689815
7882,0.3850810185
7880,0.3848842593
7877,0.3846180556
7875,0.3842013889
7868,0.3829398148
7863,0.3790740741
7861,0.3790393519
7857,0.3745138889
7851,0.3735069444
7849,0.3733217593
7845,0.3703356481
7842,0.3697337963
7838,0.3685300926
7836,0.3681944444
7831,0.36625
7824,0.3636458333
7821,0.3626967593
7971,0.7386342593
7819,0.3614236111
7963,0.7357060185
7815,0.3580208333
7956,0.7288657407
7812,0.3566666667
7953,0.7279166667
7807,0.3536805556
7949,0.7249768519
7802,0.3516087963
7944,0.7239467593
7795,0.3480208333
7942,0.7225231481
7788,0.340787037
7939,0.7175810185
7784,0.3380902778
7935,0.7160532407
7776,0.3341898148
7930,0.7106018519
7773,0.3315972222
7928,0.7069212963
7768,0.33
7925,0.7052430556
7761,0.3256712963
7921,0.7047222222
7756,0.3243402778
7916,0.6978125
7753,0.3242939815
7913,0.6969907407
7749,0.3239699074
7910,0.6965856481
7743,0.3204166667
7743,0.3187037037
7902,0.6845833333
7736,0.3175462963
7899,0.6836458333
7897,0.6834837963
7897,0.6827430556
7888,0.6609837963
7883,0.6580555556
7877,0.6563194444
7699,0.3083796296
7874,0.6558333333
7695,0.308287037
7872,0.6557638889
7693,0.3078356481
7870,0.6553009259
7688,0.3073032407
7867,0.6538773148
7685,0.3072106481
7865,0.6512615741
7681,0.3068287037
7861,0.6470023148
7677,0.3064467593
7856,0.6407175926
7674,0.3059606481
7854,0.6382638889
7672,0.3059490741
7851,0.6365972222
7668,0.3055787037
7847,0.6317708333
7663,0.3039351852
7660,0.3035763889
7838,0.6212037037
7655,0.3023842593
7834,0.6198958333
7652,0.3021759259
7830,0.6159375
7649,0.3008449074
7645,0.2991666667
7814,0.6019097222
7639,0.298587963
7809,0.6015509259
7635,0.2982523148
7807,0.6009375
7631,0.2975810185
