Rank,RTweet_Fvrt,Life_time(days)
4665.143736871527,46,0.00019675925925925926
4655.279431574183,52,0.0002314814814814815
4667.687235401208,56,0.00024305555555555555
4652.828793997735,65,0.00028935185185185184
4657.392968090109,71,0.0003125
4667.810011541529,72,0.0003125
4661.9836023712705,73,0.00032407407407407406
4661.381567415941,75,0.0003356481481481481
4655.640613558597,78,0.0003587962962962963
4656.455419194436,71,0.0003356481481481481
4650.2772291405245,85,0.0003935185185185185
4660.2918098897535,77,0.0003587962962962963
4654.92869832064,81,0.00038194444444444446
4663.700853146094,82,0.00038194444444444446
4658.898132357777,83,0.0003935185185185185
4671.557036349923,85,0.0003935185185185185
4682.883089791489,90,0.0004050925925925926
4678.024674034365,91,0.0004166666666666667
4684.771145805878,95,0.00042824074074074075
4671.362195311731,99,0.000462962962962963
4682.038757547016,101,0.000462962962962963
4677.752332579024,102,0.00047453703703703704
4688.061976180392,104,0.00047453703703703704
4689.507668106082,110,0.0004976851851851852
4699.1542695734215,112,0.0004976851851851852
4700.073794316949,117,0.0005208333333333333
4684.587216541651,124,0.0005671296296296297
4680.380630444742,128,0.0005902777777777778
4671.368702344793,128,0.0006018518518518519
4690.76171486237,132,0.0006018518518518519
4698.848144485171,134,0.0006018518518518519
4704.8076696616845,142,0.000625
4704.8076696616845,142,0.000625
4709.883855393694,143,0.000625
4719.884188747028,145,0.000625
4719.884188747028,145,0.000625
4728.374832559819,149,0.0006365740740740741
4715.4236360784935,153,0.0006712962962962962
4714.396810315546,155,0.0006828703703703704
4706.733645769718,171,0.0007523148148148148
4710.988990603672,172,0.0007523148148148148
4708.03766233872,173,0.0007638888888888889
4718.433047173256,177,0.0007638888888888889
4715.71317456873,185,0.0007986111111111112
4712.891430236016,186,0.0008101851851851852
4711.291227342157,191,0.0008333333333333334
4717.237946642112,200,0.0008564814814814815
4714.592062162849,201,0.0008680555555555555
4714.592062162849,201,0.0008680555555555555
4712.33867278435,208,0.0009027777777777777
4715.884786939096,209,0.0009027777777777777
4711.624766421333,209,0.0009143518518518518
4708.5219507268275,213,0.0009375
4705.549238049623,217,0.0009606481481481482
4699.875503079001,217,0.0009722222222222222
4699.875503079001,217,0.0009722222222222222
4711.640751784098,221,0.0009722222222222222
4703.798752653038,222,0.0009953703703703704
4704.314639308765,227,0.0010185185185185184
4697.522116046175,235,0.0010648148148148149
4692.386485821325,235,0.0010763888888888889
4702.246950568257,245,0.001099537037037037
4701.766739219436,247,0.0011111111111111111
4704.742938483083,248,0.0011111111111111111
4704.742938483083,248,0.0011111111111111111
4705.715164137664,250,0.0011226851851851851
4705.216652928815,252,0.0011342592592592593
4709.558214215545,254,0.0011342592592592593
4704.250690520142,256,0.0011574074074074073
4708.518141745061,258,0.0011574074074074073
4706.607543685339,259,0.0011689814814814816
4709.416539837451,260,0.0011689814814814816
4705.653042502783,263,0.0011921296296296296
4705.190174957339,265,0.0012037037037037038
4710.6547102234335,268,0.0012037037037037038
4705.194839276888,273,0.001238425925925926
4705.194839276888,273,0.001238425925925926
4710.034012286228,278,0.00125
4706.077372939524,284,0.0012847222222222223
4705.652376988706,286,0.0012962962962962963
4699.762875563966,287,0.0013194444444444445
4697.788273633654,291,0.0013425925925925925
4697.447848366222,293,0.0013541666666666667
4695.243462010651,300,0.001388888888888889
4691.282597403235,300,0.001400462962962963
4698.564279497183,304,0.001400462962962963
4700.968130281235,305,0.001400462962962963
4699.4318403976085,306,0.001412037037037037
4694.943348562321,311,0.0014467592592592592
4697.290770714424,312,0.0014467592592592592
4695.822492669377,313,0.0014583333333333334
4687.6176843992,321,0.0015162037037037036
4678.924249008154,325,0.0015625
4678.77268845698,327,0.001574074074074074
4678.4786443880075,332,0.0015972222222222223
4677.235926717942,333,0.0016087962962962963
4675.885439132143,337,0.0016319444444444445
4679.14277964274,339,0.0016319444444444445
